Date,Account Name,Number,Description,Notes,Memo,Category,Type,Action,Reconcile,To With Sym,From With Sym,To Num.,From Num.,To Rate/Price,From Rate/Price
02/03/1996,Bills,124,DBC,,,New Bank,T,,N,$24.89,,24.89,,,
,,,,,,Bills,S,,N,$24.89,,24.89,,1.00,
,,,,,,New Bank,S,,N,,-$24.89,,-24.89,,1.00
02/07/1996,Electricity,,Power Co.,,,New Bank,T,,N,$46.53,,46.53,,,
,,,,,,Electricity,S,,N,$46.53,,46.53,,1.00,
,,,,,,New Bank,S,,N,,-$46.53,,-46.53,,1.00
02/27/1996,Electricity,,Power Co.,,,New Bank,T,,N,$23.14,,23.14,,,
,,,,,,Electricity,S,,N,$23.14,,23.14,,1.00,
,,,,,,New Bank,S,,N,,-$23.14,,-23.14,,1.00
04/08/1996,Electricity,,Power Co.,,,New Bank,T,,N,$19.28,,19.28,,,
,,,,,,Electricity,S,,N,$19.28,,19.28,,1.00,
,,,,,,New Bank,S,,N,,-$19.28,,-19.28,,1.00
05/01/1996,Electricity,,Power Co.,,,New Bank,T,,N,$19.78,,19.78,,,
,,,,,,Electricity,S,,N,$19.78,,19.78,,1.00,
,,,,,,New Bank,S,,N,,-$19.78,,-19.78,,1.00
06/10/1996,Electricity,,Power Co.,,,New Bank,T,,N,$25.36,,25.36,,,
,,,,,,Electricity,S,,N,$25.36,,25.36,,1.00,
,,,,,,New Bank,S,,N,,-$25.36,,-25.36,,1.00
01/28/1996,Natural Gas,123,Gas Co.,,,New Bank,T,,N,$55.95,,55.95,,,
,,,,,,Natural Gas,S,,N,$55.95,,55.95,,1.00,
,,,,,,New Bank,S,,N,,-$55.95,,-55.95,,1.00
03/09/1996,Natural Gas,137,Gas Co.,,,New Bank,T,,N,$18.75,,18.75,,,
,,,,,,Natural Gas,S,,N,$18.75,,18.75,,1.00,
,,,,,,New Bank,S,,N,,-$18.75,,-18.75,,1.00
04/10/1996,Natural Gas,145,Gas Co.,,,New Bank,T,,N,$23.09,,23.09,,,
,,,,,,Natural Gas,S,,N,$23.09,,23.09,,1.00,
,,,,,,New Bank,S,,N,,-$23.09,,-23.09,,1.00
01/01/1996,Rent,116,Landlord,,,New Bank,T,,N,$525.00,,525.00,,,
,,,,,,Rent,S,,N,$525.00,,525.00,,1.00,
,,,,,,New Bank,S,,N,,-$525.00,,-525.00,,1.00
02/01/1996,Rent,126,Landlord,,,New Bank,T,,N,$525.00,,525.00,,,
,,,,,,Rent,S,,N,$525.00,,525.00,,1.00,
,,,,,,New Bank,S,,N,,-$525.00,,-525.00,,1.00
03/02/1996,Rent,135,Landlord,,,New Bank,T,,N,$525.00,,525.00,,,
,,,,,,Rent,S,,N,$525.00,,525.00,,1.00,
,,,,,,New Bank,S,,N,,-$525.00,,-525.00,,1.00
04/01/1996,Rent,144,Landlord,,,New Bank,T,,N,$525.00,,525.00,,,
,,,,,,Rent,S,,N,$525.00,,525.00,,1.00,
,,,,,,New Bank,S,,N,,-$525.00,,-525.00,,1.00
05/01/1996,Rent,149,Landlord,,,New Bank,T,,N,$525.00,,525.00,,,
,,,,,,Rent,S,,N,$525.00,,525.00,,1.00,
,,,,,,New Bank,S,,N,,-$525.00,,-525.00,,1.00
